구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,평균
2000년01월12일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월13일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월14일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월15일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월16일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월17일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월18일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월19일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월20일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월21일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월22일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월23일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월24일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월25일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월26일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월27일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월28일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월29일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월30일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월31일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년02월01일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월02일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
